Cancer_Cells_Mean,Regulatory_T_Cells_Mean,Effector_T_Cells_Mean,Macrophages_Mean,Endothelial_Cells_Mean,Fibroblast_Mean
45.3486666666667,4.91969696969697,20.1948484848485,8.54060606060606,4.39515151515151,17.9890909090909
45.5492620118202,4.13503276476589,15.4810695137336,8.54940741763807,3.47844868727921,11.3664972331059
43.3102400326489,3.64545468623841,12.2643974519736,8.44171540258206,2.88689548993451,8.09972303804577
40.4818274634834,3.31962150043371,10.0447963645022,8.24019289038984,2.48166016373293,6.38166649730393
37.7793681899924,3.09521670111844,8.47057283476828,7.95816429940843,2.18892404905698,5.35925051252644
35.3526424105074,2.93746487552069,7.34077645726099,7.61327107312172,1.98681685544834,4.70751249372858
33.2830509212901,2.82525111153829,6.53253319699788,7.22891255905286,1.83904719900347,4.25528404108689
31.4675300558232,2.74399494076869,5.97924471949508,6.82899048942024,1.73376951549039,3.92276901433939
29.7817588928381,2.68280576314051,5.59339000391528,6.43135157773251,1.66727306135849,3.65915440786731
28.2634776952468,2.6376064806728,5.34917724976077,6.0486103560348,1.62507780438289,3.50772046791853
26.900085932499,2.60716909257467,5.21870010446019,5.70001490611767,1.60129465244796,3.42991855140224
25.6848958093262,2.58398934939029,5.15808120660122,5.37743607767741,1.57900731684471,3.38197705165157
24.5914070122001,2.56378541747683,5.16945369511507,5.08582982577494,1.56507509371041,3.37433017907678
23.6005884115163,2.54761628337666,5.24479623269926,4.83167532970669,1.56199629570179,3.41378315266663
22.6986427715633,2.53247621522098,5.35245232769109,4.6034274279433,1.55471482719039,3.44572741200708
21.8752011763638,2.5236279362915,5.52256781765753,4.4106553579852,1.55990913648658,3.55269911515387
21.1212063637734,2.51395794704251,5.73618942708508,4.24346097882116,1.580790393815,3.68376913254541
20.4325512166851,2.50497603681382,5.9783942730066,4.10490206289457,1.58390418567947,3.84117014974052
19.8006622398599,2.50080544096659,6.24673396762975,3.98812302441819,1.59623153000333,4.01782485717677
19.2207421370333,2.49563078244002,6.53652316408634,3.8934393715585,1.60316224904002,4.21041503494127
18.6914949767243,2.49553171923594,6.86211511501489,3.81813720042782,1.61052229572289,4.45866706902758
18.2191706183146,2.49869690716673,7.1988487352337,3.76272047366315,1.62476523065937,4.70645635719241
17.8066042749435,2.50345352116692,7.55435082896371,3.72953570653782,1.6296957719326,5.00738847618581
17.399192495199,2.50603538442386,7.90607783219391,3.70458550920017,1.63388909466462,5.27729667290793
17.010293047601,2.51914075818269,8.30185003717686,3.69745769226413,1.65722910640779,5.62487449574276
16.6591943013443,2.52721951864458,8.691461823639,3.70902376566493,1.6616261988685,5.97681958502661
16.3249345867182,2.52842356862769,9.10190241803733,3.73978485167344,1.68057940054983,6.32727278202503
16.0157215686754,2.51654793168171,9.52457568790166,3.79320275113271,1.69308902353778,6.72954648702965
15.7383931801194,2.57329857744375,9.96237694892818,3.85193183187687,1.70048949924077,7.1344312160583
15.4770120920977,2.5515066947718,10.3994646555876,3.93208462680872,1.72077567702717,7.5447756003759
15.2442974104569,2.53453239434984,10.8283988468404,4.02212460608471,1.71936657203739,7.9279741842748
15.0367034829688,2.5198583630869,11.2800823835776,4.137883240626,1.73402415249504,8.35389037819306
14.8358417380972,2.51163928383052,11.733377527639,4.2643021932745,1.74140653117052,8.78082111137948
14.6547345800328,2.49386172951778,12.1992584097174,4.40430034028239,1.76034223279675,9.23885244084626
14.4979652821121,2.49568510920299,12.6366847859701,4.55324550623128,1.77100976136572,9.65093849332564
14.367917125703,2.47489194044045,13.0823107972239,4.70148993466193,1.77662482919224,10.0765967387499
14.2560460100706,2.4410620563587,13.5232990107353,4.84920186404922,1.78741475523057,10.483281120401
14.1817675282538,2.41502390076302,13.966129169516,4.9925765506742,1.80963418487577,10.932881178315
14.1269906115831,2.37873872794642,14.3856247144192,5.13590562920551,1.82457402067757,11.3820790211792
14.1072101636783,2.34828599511966,14.7593882864962,5.27541486484166,1.8133479082421,11.7936484891465
14.1175330551338,2.31971863872792,15.0889095790013,5.41261734671728,1.79573142182484,12.1614552706937
14.1651280590505,2.29782708068065,15.3600039812686,5.56975422928654,1.7971330968626,12.5719530184745
14.2329164054843,2.26398628004868,15.55456222022,5.74249529356172,1.80021337255337,12.9890452130233
14.3495242229992,2.24419291782066,15.5858170252112,5.93511040572194,1.7881821236791,13.2399257768764
14.4933801711539,2.22318447747618,15.5428508258364,6.16302667675958,1.79909970200694,13.5681346488203
14.6804560315422,2.2006612210859,15.3810382080699,6.3999557615331,1.81615416130289,13.8233912466165
14.916830553911,2.1846600475483,15.1233342499096,6.60957744645746,1.81156366639127,13.9689264721238
15.1935809605241,2.17713681561762,14.8504200615305,6.77682344108583,1.81450252683965,14.0883419023606
15.4986156630121,2.17212258127319,14.5461222047872,6.89425575428928,1.80470676598583,14.1476007022696
15.8575119146371,2.16655510003765,14.2360775072772,6.95042721936559,1.80838629358764,14.0508543616338
16.2554000572592,2.15438628008529,13.9076419959861,6.96055453095057,1.82828216027895,13.83357252292
16.6878601665187,2.14954778663899,13.5632070815493,6.93891560356146,1.82476752993541,13.5913073030351
17.1255977814716,2.14088264990885,13.2079221919546,6.86437848228988,1.82420184575249,13.1636955621743
17.5281813484077,2.14100262992465,12.8733327864207,6.7543834400025,1.82687000941432,12.7745189657213
17.8707293867926,2.14766596962329,12.5673670805656,6.58908843717461,1.83951741090592,12.2713700334478
18.1692926160878,2.1650676374197,12.3050815394855,6.37413762406075,1.85424529177238,11.7430756610667
18.3956953119097,2.19842487455162,12.0755055107818,6.13048698101545,1.86881170321749,11.2608303499088
18.5366120765511,2.24210464161984,11.924198575472,5.83839022022024,1.88987646133298,10.7771951919465
18.5751906748129,2.30174930993158,11.8294356793036,5.54448156419144,1.9364097313693,10.4099546062112
18.5158738346176,2.37582537374185,11.7667380078473,5.23904968621565,1.99340485010335,10.0723178974554
18.3862986711903,2.42079158519638,11.7447673706048,4.95787993551393,2.05006230413343,9.81534518356385
18.1981548540198,2.48589719222633,11.7575031745093,4.69453503590987,2.1033860880708,9.60322710123641
17.9474441779884,2.5524531627394,11.7810233070113,4.45017423772343,2.12635446565508,9.36024353267945
17.6935371940278,2.63585704800158,11.8845158508665,4.24509539908941,2.16999407373616,9.33881356110754
17.4191658267671,2.68640767521207,11.9276657603836,4.06246787387678,2.13856695251428,9.15970810196302
17.1786657025034,2.66260885779173,12.0632679801108,3.91603297609582,2.07941037459325,9.14519540986703
16.8803337115866,2.59973554050486,12.156017176744,3.78358757204326,1.97294931327689,9.07017862164621
16.5288416723442,2.51139528572957,12.3265511973329,3.6781065561108,1.94463840930118,9.13192535807775
16.1878440045463,2.45087473684027,12.5013354505488,3.58941044616949,1.90265623580215,9.21051319930078
15.8203499362639,2.38510818288157,12.7538714363647,3.5218885263067,1.89611530949446,9.41754263430926
15.4518138081295,2.31433799914846,13.0134131395309,3.46519343528676,1.88018736058039,9.61793024353027
15.0987180174731,2.26215934000461,13.3374634374655,3.42287237538909,1.87062771387499,9.93156971231859
14.7764037186907,2.21774267771331,13.6622768518799,3.40010723806492,1.8590905127215,10.211853250766
14.4490383399043,2.16794355601026,14.0651864757222,3.38122823251385,1.88046328143862,10.5974396342286
14.1592194312348,2.13201427513082,14.4611230621916,3.38139645849042,1.88649291848856,10.9747367434975
13.8732955996614,2.07552347750547,14.9218204948511,3.38861215610073,1.90933684796305,11.4145590064759
13.6282392932596,2.04400635018624,15.3829777467023,3.40567588958362,1.92261458237019,11.8454952717482
13.4023975094115,2.02141371396412,15.9278769051843,3.43697179686965,1.97644116599046,12.4124748673045
