Cancer_Cells_Mean,Regulatory_T_Cells_Mean,Effector_T_Cells_Mean,Macrophages_Mean,Endothelial_Cells_Mean,Fibroblast_Mean,Survival
7.187381998,1.419446694,20.55356067,2.914942859,2.016352514,20.60680806,PCR
6.976346792,1.401373502,20.71145233,2.988146543,2.014440779,20.99502973,PCR
6.797522376,1.379543928,20.86295042,3.050406338,1.998575077,21.40090472,PCR
6.631711192,1.373825172,21.03406505,3.116106962,2.006934712,21.84420588,PCR
6.454828571,1.357492253,21.25047569,3.198344516,1.997349788,22.34445487,PCR
6.318676182,1.34790064,21.54574671,3.29137599,2.01862171,22.9384219,PCR
6.190932029,1.348384861,21.79325457,3.382720822,2.039626016,23.49085204,PCR
6.061836962,1.330759682,22.02491946,3.465480116,2.044673443,24.03911217,PCR
5.971791789,1.320899595,22.26303573,3.552635344,2.059287401,24.60534369,PCR
5.904385343,1.301888491,22.52836974,3.649077251,2.095235389,25.2115871,PCR
5.825973778,1.259175768,22.76669493,3.729947673,2.122743828,25.80499681,PCR
5.778101056,1.364945977,23.17253649,3.858144402,2.534300846,26.58442304,PCR
5.744441658,1.375860589,23.42168767,3.964275531,2.61128847,27.25627318,PCR
5.695930804,1.369743437,23.6228509,4.053128982,2.605168052,27.90492401,PCR
5.683768407,1.312004984,23.80411603,4.158126681,2.622047005,28.55365951,PCR
5.672112944,1.275574743,23.98760146,4.287144155,2.673364556,29.22781882,PCR
5.640357667,1.225911221,24.11361692,4.416612063,2.743009615,29.87954201,PCR
5.705582349,1.185700967,24.20178676,4.56848972,2.721417943,30.52662546,PCR
5.792180757,1.165839226,24.27018239,4.75610888,2.669910596,31.17306988,PCR
5.884306663,1.122202408,24.25841842,4.950546232,2.623518248,31.75843179,PCR
6.025636447,1.10986836,24.21311596,5.184247552,2.597240123,32.32231425,PCR
6.237584124,1.098217513,24.07633631,5.440865081,2.470194604,32.79494725,PCR
6.428808768,1.588245992,23.90270034,5.757508693,3.072772397,33.20285137,PCR
6.782045416,1.456757444,23.80231375,6.112472588,2.631301793,33.75287423,PCR
7.221913844,1.341861499,23.43078532,6.425253587,2.369496019,33.8996318,PCR
7.738448786,1.242588968,22.98387232,6.734944519,2.183977272,33.80904609,PCR
8.383343157,1.191478987,22.49237974,7.03860038,2.051972372,33.47989805,PCR
45.34866667,4.91969697,20.19484848,8.540606061,4.395151515,17.98909091,RD
45.54926201,4.135032765,15.48106951,8.549407418,3.478448687,11.36649723,RD
43.31024003,3.645454686,12.26439745,8.441715403,2.88689549,8.099723038,RD
40.48182746,3.3196215,10.04479636,8.24019289,2.481660164,6.381666497,RD
37.77936819,3.095216701,8.470572835,7.958164299,2.188924049,5.359250513,RD
35.35264241,2.937464876,7.340776457,7.613271073,1.986816855,4.707512494,RD
33.28305092,2.825251112,6.532533197,7.228912559,1.839047199,4.255284041,RD
31.46753006,2.743994941,5.979244719,6.828990489,1.733769515,3.922769014,RD
29.78175889,2.682805763,5.593390004,6.431351578,1.667273061,3.659154408,RD
28.2634777,2.637606481,5.34917725,6.048610356,1.625077804,3.507720468,RD
26.90008593,2.607169093,5.218700104,5.700014906,1.601294652,3.429918551,RD
25.68489581,2.583989349,5.158081207,5.377436078,1.579007317,3.381977052,RD
24.59140701,2.563785417,5.169453695,5.085829826,1.565075094,3.374330179,RD
23.60058841,2.547616283,5.244796233,4.83167533,1.561996296,3.413783153,RD
22.69864277,2.532476215,5.352452328,4.603427428,1.554714827,3.445727412,RD
21.87520118,2.523627936,5.522567818,4.410655358,1.559909136,3.552699115,RD
21.12120636,2.513957947,5.736189427,4.243460979,1.580790394,3.683769133,RD
20.43255122,2.504976037,5.978394273,4.104902063,1.583904186,3.84117015,RD
19.80066224,2.500805441,6.246733968,3.988123024,1.59623153,4.017824857,RD
19.22074214,2.495630782,6.536523164,3.893439372,1.603162249,4.210415035,RD
18.69149498,2.495531719,6.862115115,3.8181372,1.610522296,4.458667069,RD
18.21917062,2.498696907,7.198848735,3.762720474,1.624765231,4.706456357,RD
17.80660427,2.503453521,7.554350829,3.729535707,1.629695772,5.007388476,RD
17.3991925,2.506035384,7.906077832,3.704585509,1.633889095,5.277296673,RD
17.01029305,2.519140758,8.301850037,3.697457692,1.657229106,5.624874496,RD
16.6591943,2.527219519,8.691461824,3.709023766,1.661626199,5.976819585,RD
16.32493459,2.528423569,9.101902418,3.739784852,1.680579401,6.327272782,RD
16.01572157,2.516547932,9.524575688,3.793202751,1.693089024,6.729546487,RD
15.73839318,2.573298577,9.962376949,3.851931832,1.700489499,7.134431216,RD
15.47701209,2.551506695,10.39946466,3.932084627,1.720775677,7.5447756,RD
15.24429741,2.534532394,10.82839885,4.022124606,1.719366572,7.927974184,RD
15.03670348,2.519858363,11.28008238,4.137883241,1.734024152,8.353890378,RD
14.83584174,2.511639284,11.73337753,4.264302193,1.741406531,8.780821111,RD
14.65473458,2.49386173,12.19925841,4.40430034,1.760342233,9.238852441,RD
14.49796528,2.495685109,12.63668479,4.553245506,1.771009761,9.650938493,RD
14.36791713,2.47489194,13.0823108,4.701489935,1.776624829,10.07659674,RD
14.25604601,2.441062056,13.52329901,4.849201864,1.787414755,10.48328112,RD
14.18176753,2.415023901,13.96612917,4.992576551,1.809634185,10.93288118,RD
14.12699061,2.378738728,14.38562471,5.135905629,1.824574021,11.38207902,RD
14.10721016,2.348285995,14.75938829,5.275414865,1.813347908,11.79364849,RD
14.11753306,2.319718639,15.08890958,5.412617347,1.795731422,12.16145527,RD
14.16512806,2.297827081,15.36000398,5.569754229,1.797133097,12.57195302,RD
14.23291641,2.26398628,15.55456222,5.742495294,1.800213373,12.98904521,RD
14.34952422,2.244192918,15.58581703,5.935110406,1.788182124,13.23992578,RD
14.49338017,2.223184477,15.54285083,6.163026677,1.799099702,13.56813465,RD
14.68045603,2.200661221,15.38103821,6.399955762,1.816154161,13.82339125,RD
14.91683055,2.184660048,15.12333425,6.609577446,1.811563666,13.96892647,RD
15.19358096,2.177136816,14.85042006,6.776823441,1.814502527,14.0883419,RD
15.49861566,2.172122581,14.5461222,6.894255754,1.804706766,14.1476007,RD
15.85751191,2.1665551,14.23607751,6.950427219,1.808386294,14.05085436,RD
16.25540006,2.15438628,13.907642,6.960554531,1.82828216,13.83357252,RD
16.68786017,2.149547787,13.56320708,6.938915604,1.82476753,13.5913073,RD
17.12559778,2.14088265,13.20792219,6.864378482,1.824201846,13.16369556,RD
17.52818135,2.14100263,12.87333279,6.75438344,1.826870009,12.77451897,RD
17.87072939,2.14766597,12.56736708,6.589088437,1.839517411,12.27137003,RD
18.16929262,2.165067637,12.30508154,6.374137624,1.854245292,11.74307566,RD
18.39569531,2.198424875,12.07550551,6.130486981,1.868811703,11.26083035,RD
18.53661208,2.242104642,11.92419858,5.83839022,1.889876461,10.77719519,RD
18.57519067,2.30174931,11.82943568,5.544481564,1.936409731,10.40995461,RD
18.51587383,2.375825374,11.76673801,5.239049686,1.99340485,10.0723179,RD
18.38629867,2.420791585,11.74476737,4.957879936,2.050062304,9.815345184,RD
18.19815485,2.485897192,11.75750317,4.694535036,2.103386088,9.603227101,RD
17.94744418,2.552453163,11.78102331,4.450174238,2.126354466,9.360243533,RD
17.69353719,2.635857048,11.88451585,4.245095399,2.169994074,9.338813561,RD
17.41916583,2.686407675,11.92766576,4.062467874,2.138566953,9.159708102,RD
17.1786657,2.662608858,12.06326798,3.916032976,2.079410375,9.14519541,RD
16.88033371,2.599735541,12.15601718,3.783587572,1.972949313,9.070178622,RD
16.52884167,2.511395286,12.3265512,3.678106556,1.944638409,9.131925358,RD
16.187844,2.450874737,12.50133545,3.589410446,1.902656236,9.210513199,RD
15.82034994,2.385108183,12.75387144,3.521888526,1.896115309,9.417542634,RD
15.45181381,2.314337999,13.01341314,3.465193435,1.880187361,9.617930244,RD
15.09871802,2.26215934,13.33746344,3.422872375,1.870627714,9.931569712,RD
14.77640372,2.217742678,13.66227685,3.400107238,1.859090513,10.21185325,RD
14.44903834,2.167943556,14.06518648,3.381228233,1.880463281,10.59743963,RD
14.15921943,2.132014275,14.46112306,3.381396458,1.886492918,10.97473674,RD
13.8732956,2.075523478,14.92182049,3.388612156,1.909336848,11.41455901,RD
13.62823929,2.04400635,15.38297775,3.40567589,1.922614582,11.84549527,RD
13.40239751,2.021413714,15.92787691,3.436971797,1.976441166,12.41247487,RD
13.17644232,1.980267942,16.40353969,3.469081741,2.004448322,12.83011874,RD
12.9971751,1.976948353,17.00317152,3.530861501,2.062762741,13.46914243,RD
12.84208291,1.980484941,17.57471013,3.604753335,2.096345639,14.02817659,RD
12.68185727,1.972094465,18.15876411,3.683646404,2.154976556,14.61259964,RD
12.54401491,1.981946791,18.73739649,3.783859066,2.197699161,15.2470887,RD
12.42220569,2.008778727,19.32460403,3.884935264,2.285258853,15.88462152,RD
12.33010283,2.073587829,19.91908687,4.004933873,2.385441123,16.57176044,RD
12.22305293,2.147253712,20.51955947,4.136199425,2.51959239,17.35035616,RD
12.15255748,2.063968959,21.00223048,4.27914337,2.595842735,17.97947041,RD
12.11074015,2.01267098,21.56349844,4.444495108,2.742992457,18.80681272,RD
12.08151983,1.954938568,21.99869136,4.640158722,3.026795756,19.54491857,RD
12.0900529,1.922818258,22.45459492,4.849724896,3.605528195,20.39496066,RD
12.17003023,1.907501387,22.76280939,5.093119655,3.338042721,21.11821557,RD
12.32201192,1.885548284,23.04001338,5.373283607,3.117070488,21.88138983,RD
12.56987191,1.798055888,23.22756384,5.685867137,2.926609229,22.48416687,RD
12.86311963,1.70914267,23.29499931,6.024383166,2.768465355,22.98929297,RD
13.28850834,1.610095618,23.24170746,6.390300673,2.619913626,23.31333508,RD
13.79645699,1.509480468,23.11027859,6.790342803,2.508130441,23.57622796,RD
14.43339815,1.651506928,22.74521782,7.192197243,2.62429255,23.54879917,RD
15.27211681,1.523720007,22.19725195,7.631126366,2.400691753,23.27088413,RD
16.23987451,1.421554428,21.50812847,8.088886087,2.221726272,22.6966077,RD
17.38938679,1.348200012,20.67306114,8.548594895,2.097518929,21.86331786,RD
