Cancer_Cells_Mean,Regulatory_T_Cells_Mean,Effector_T_Cells_Mean,Macrophages_Mean,Endothelial_Cells_Mean,Fibroblast_Mean
44.3823684210526,5.79052631578947,18.9918421052632,8.76157894736842,3.69302631578947,19.8307631578947
42.601143367884,4.9806222237832,14.6802762390733,7.60658543388064,2.97017781727533,14.421779700153
39.9450114085866,4.43951202157489,12.0901908815359,6.57225722879515,2.47130688336875,11.0727714709134
36.9823693782532,4.05206925611192,10.4040307598228,5.71237618222458,2.1126416384163,8.93881862956529
33.998360597951,3.76168386924796,9.24213244675322,5.02716753620637,1.84763201065199,7.54058776317328
31.1216866471443,3.53671582939058,8.42999429524826,4.49558438345621,1.65299638754669,6.63475636270438
28.4353145660533,3.35795397750732,7.82188711026353,4.09166058927722,1.51763281738073,6.04704904128249
25.9810439286179,3.21277482674469,7.3815577835167,3.78264955204459,1.42941467720977,5.7101995382359
23.7729720841226,3.09260879866876,7.06028491227525,3.53358845424978,1.37224593132921,5.5153769625418
21.8066283648316,2.99404267089113,6.86053779574811,3.32358617483748,1.34201635498313,5.4465118274085
20.0640211150081,2.90946682495788,6.73886279795167,3.13643416989179,1.32140010843192,5.44284093821404
18.5305278006023,2.83725556074242,6.68963571345607,2.96244337619723,1.31155334506806,5.5006934578202
17.1770836940602,2.77323200998647,6.69129912110332,2.79486301773156,1.30745032596701,5.58132098093172
15.9578986285398,2.71782673089953,6.76149720081816,2.65057674918658,1.3231241199494,5.71651389138805
14.9442755391425,2.66969976377674,6.88176365431081,2.50510174088889,1.3311827979093,5.85635385267156
14.0510662943704,2.62837550702299,7.04447309732024,2.37627635709446,1.34890406041951,6.02280848422115
13.2775409773223,2.59073594196847,7.24735255147739,2.25913015053562,1.36933161402118,6.20542219033811
12.603266895705,2.55669724932053,7.49531172279944,2.17058780377383,1.41178411119379,6.42128237765734
12.0251858706337,2.52233361387221,7.76229936092455,2.06683183377065,1.42652022323072,6.63205929665635
11.5392465060477,2.49495028371293,8.06769326864616,1.97476036434519,1.4506044233696,6.86530829637599
11.0805213641492,2.4648796542368,8.40472803340872,1.89504415318061,1.4711101025654,7.1166770442251
10.6751394369888,2.43320995174223,8.76079890551792,1.82629764332219,1.50026954003317,7.3763199360183
10.3085224892425,2.39685247659699,9.16186236679592,1.77256713058414,1.53973444587518,7.67650734379047
9.97886309795515,2.36289482670609,9.5934328538988,1.73402801989329,1.57265706198239,8.00357559271378
