PCR_Name,RD_Name,Similarity
endothelialcells197,endothelialcells127,0.947368421052632
fibroblast197,fibroblast127,0.923076923076923
cancercells200,cancercells240,0.928571428571429
regulatorytcells200,regulatorytcells240,0.947368421052632
effectortcells200,effectortcells240,0.941176470588235
macrophages200,macrophages240,0.928571428571429
endothelialcells200,endothelialcells240,0.947368421052632
fibroblast200,fibroblast240,0.923076923076923
cancercells222,cancercells025,0.857142857142857
regulatorytcells222,regulatorytcells025,0.894736842105263
effectortcells222,effectortcells025,0.882352941176471
macrophages222,macrophages025,0.857142857142857
endothelialcells222,endothelialcells025,0.894736842105263
cancercells227,cancercells127,0.928571428571429
regulatorytcells227,regulatorytcells127,0.947368421052632
effectortcells227,effectortcells127,0.941176470588235
macrophages227,macrophages127,0.928571428571429
endothelialcells227,endothelialcells127,0.947368421052632
fibroblast227,fibroblast127,0.923076923076923
cancercells228,cancercells248,0.928571428571429
regulatorytcells228,regulatorytcells248,0.947368421052632
effectortcells228,effectortcells248,0.941176470588235
macrophages228,macrophages248,0.928571428571429
endothelialcells228,endothelialcells248,0.947368421052632
fibroblast228,fibroblast248,0.923076923076923
cancercells242,cancercells240,0.928571428571429
regulatorytcells242,regulatorytcells240,0.947368421052632
effectortcells242,effectortcells240,0.941176470588235
macrophages242,macrophages240,0.928571428571429
endothelialcells242,endothelialcells240,0.947368421052632
fibroblast242,fibroblast240,0.923076923076923
cancercells245,cancercells240,0.928571428571429
regulatorytcells245,regulatorytcells240,0.947368421052632
effectortcells245,effectortcells240,0.941176470588235
macrophages245,macrophages240,0.928571428571429
endothelialcells245,endothelialcells240,0.947368421052632
fibroblast245,fibroblast240,0.923076923076923
cancercells246,cancercells240,0.928571428571429
regulatorytcells246,regulatorytcells240,0.947368421052632
effectortcells246,effectortcells240,0.941176470588235
macrophages246,macrophages240,0.928571428571429
endothelialcells246,endothelialcells240,0.947368421052632
fibroblast246,fibroblast240,0.923076923076923
cancercells247,cancercells047,0.928571428571429
regulatorytcells247,regulatorytcells047,0.947368421052632
effectortcells247,effectortcells047,0.941176470588235
macrophages247,macrophages047,0.928571428571429
endothelialcells247,endothelialcells047,0.947368421052632
fibroblast247,fibroblast047,0.923076923076923
cancercells251,cancercells250,0.928571428571429
regulatorytcells251,regulatorytcells250,0.947368421052632
effectortcells251,effectortcells250,0.941176470588235
macrophages251,macrophages250,0.928571428571429
endothelialcells251,endothelialcells250,0.947368421052632
fibroblast251,fibroblast250,0.923076923076923
cancercells252,cancercells250,0.928571428571429
regulatorytcells252,regulatorytcells250,0.947368421052632
effectortcells252,effectortcells250,0.941176470588235
macrophages252,macrophages250,0.928571428571429
endothelialcells252,endothelialcells250,0.947368421052632
fibroblast252,fibroblast250,0.923076923076923
cancercells259,cancercells250,0.928571428571429
regulatorytcells259,regulatorytcells250,0.947368421052632
effectortcells259,effectortcells250,0.941176470588235
macrophages259,macrophages250,0.928571428571429
endothelialcells259,endothelialcells250,0.947368421052632
fibroblast259,fibroblast250,0.923076923076923
cancercells260,cancercells240,0.928571428571429
regulatorytcells260,regulatorytcells240,0.947368421052632
effectortcells260,effectortcells240,0.941176470588235
macrophages260,macrophages240,0.928571428571429
endothelialcells260,endothelialcells240,0.947368421052632
fibroblast260,fibroblast240,0.923076923076923
cancercells261,cancercells263,0.928571428571429
regulatorytcells261,regulatorytcells263,0.947368421052632
effectortcells261,effectortcells263,0.941176470588235
macrophages261,macrophages263,0.928571428571429
endothelialcells261,endothelialcells263,0.947368421052632
fibroblast261,fibroblast263,0.923076923076923
cancercells264,cancercells263,0.928571428571429
regulatorytcells264,regulatorytcells263,0.947368421052632
effectortcells264,effectortcells263,0.941176470588235
macrophages264,macrophages263,0.928571428571429
endothelialcells264,endothelialcells263,0.947368421052632
fibroblast264,fibroblast263,0.923076923076923
cancercells270,cancercells240,0.928571428571429
regulatorytcells270,regulatorytcells240,0.947368421052632
effectortcells270,effectortcells240,0.941176470588235
macrophages270,macrophages240,0.928571428571429
endothelialcells270,endothelialcells240,0.947368421052632
fibroblast270,fibroblast240,0.923076923076923
