Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.67817240833682,-0.180542083616037,-0.274693385481536,0.816966014996229,0.194573232435994,0.489063430937263
Regulatory\_T\_Cells,0.129500445205624,0.738280409755201,-0.127467270377889,-0.104939510157672,0.134741906810531,0.0329866730369757
Effector\_T\_Cells,-0.585124563194475,0.141257293492587,0.835237448963868,-0.605276885150144,-0.121669896753601,-0.493740448638833
Macrophages,-1.30159996217437,-0.0218842308296771,1.12243630944404,0.474779588496745,-0.114908461586147,-0.526719558479394
Endothelial\_Cells,-0.0391474487921501,-0.110985684460508,-0.0218965112548303,-0.0238712196989972,0.321113801270393,-0.027202607848637
Fibroblast,-0.38772048213138,0.0607435401878008,0.19177769754954,-0.403271004895705,0.00764199112742983,0.153834904168085
