Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,3.24279143908698,-0.0740464925283051,0.437347851902074,0.111282617346599,0.358739137157705,0.521080047454307
Regulatory\_T\_Cells,-0.0453052308841798,0.449022986402208,0.04866040182828,-0.00471359432794268,0.0210078722655013,-0.0079381420742588
Effector\_T\_Cells,-0.712374828609429,0.0212514781073534,-0.621592700951334,-0.0676766689172501,-0.117224132788223,-0.266915113797085
Macrophages,-0.150402382969854,-0.00659523630542396,-0.196618808190426,0.126687084426192,-0.018647286302038,-0.0558437147098876
Endothelial\_Cells,-0.0974553017552518,-0.0259458220139201,0.0093698925249309,-0.00628225950480351,0.31534461176754,-0.0418787900985802
Fibroblast,-0.669157827133686,0.043509944292944,-0.419809444598775,-0.0765505260136138,-0.0813187686210055,-0.0401272957099745
