Row,In\_cc,In\_treg,In\_teff,In\_m,In\_ec,In\_f
Cancer\_Cells,-4.25758797852786,0.0523402679009168,0.310320070952147,-0.0118646873870488,-0.259826417332051,-0.452386226594594
Regulatory\_T\_Cells,-0.0280301269851385,-0.576082431592396,0.017897990097667,0.0173552603047296,-0.0286399076482006,0.000788894356540961
Effector\_T\_Cells,0.22742844654386,-0.031255134254166,-1.63873065808183,0.110193135813753,0.0828110015352974,0.219932337466211
Macrophages,0.0915530160091357,0.0210349663751254,-0.142016190128048,-0.374097591649279,-0.00628099693883275,0.0080391285472598
Endothelial\_Cells,0.115605765290912,0.027150069878543,-0.00105879669018902,0.0139101621897942,-0.382705330742911,0.0557435835274239
Fibroblast,-0.726468127809893,-0.00849493931208186,-0.0410796985508766,0.0216411130420021,-0.0494746514319587,-0.482821459108739
