Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_ec,mu\_f
Cancer\_Cells,-0.559737462191156,2.71317861242688e-05,0.280581081151769,-0.0980712568022774,-0.0316529873259731,-0.650660971532761
Regulatory\_T\_Cells,-0.0360211130594438,-1.05631224691195,0.105563267885905,0.122167247744635,-0.0467409477600221,0.00883868393263254
Effector\_T\_Cells,0.348248412072604,-0.0826426554070823,-2.7448179087036,0.693410816913526,0.0348781560055364,0.670572368740611
Macrophages,0.366731158927809,0.12407158383305,-0.962073741811488,-1.4074312960825,-0.00348602985751467,0.259480584464271
Endothelial\_Cells,-0.00230158730892241,0.0454242971352312,0.0147806445126515,0.0107264981838407,-0.169531238040976,0.0147739691967878
Fibroblast,0.598149836909455,-0.0180014667860127,-0.474882992129466,0.408801002779905,-0.033010656610242,-0.671403134032276
