Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_ec,mu\_f
Cancer\_Cells,-3.57361720317963,0.096082505553291,0.438673089584121,-0.202575176322175,-0.355991160471742,-0.324903122576249
Regulatory\_T\_Cells,-0.079670361043403,-1.60025579444487,0.177611647676762,0.12543191048407,-0.328149530483213,0.0333911123340398
Effector\_T\_Cells,2.82274310014938,-0.236392493886735,-3.80559768960308,1.04514086285672,0.31905363288708,0.437563483255624
Macrophages,0.636422772903573,0.173727391030305,-1.22730005712633,-1.37418151784613,-0.0443316617143154,0.0238868269378343
Endothelial\_Cells,0.244788882811765,0.303341203373805,0.0415021794408021,0.0845875634515398,-0.742587248186009,0.130070355832713
Fibroblast,0.408719319181553,0.0552767546107661,-0.135669614285263,0.149669828097711,-0.13100387790528,-0.565118488343298
