Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,0.116374570348478,-0.000566991938389564,-0.35088489165881,-0.0574247912170123,0.0629710091839146,0.779507120397616
Regulatory\_T\_Cells,0.0145001148431321,0.362608303930432,-0.0625446597021929,-0.0570858848202206,0.00714460581515273,0.0253534735871371
Effector\_T\_Cells,-0.146044417941523,0.0301840577561316,2.21320260031766,-0.343463097285134,-0.109688747287397,-1.03873962842371
Macrophages,-0.235867412879379,-0.0749671150562079,0.972296169608605,0.975232739063321,0.154315901474641,-0.552383674508345
Endothelial\_Cells,0.044918789389172,-0.00126707582418501,-0.171193822133867,-0.164559258575738,0.173289215231402,0.0309434012985013
Fibroblast,-0.25123543300945,0.0428514037679465,0.541505033814063,-0.555000630283297,-0.0400173559132805,0.881982472586649
