Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.610289209,-0.016322835,-0.37614341,0.058786268,0.310553807,0.718245052
Regulatory\_T\_Cells,0.034368639,0.362568964,-0.028083238,-0.034056529,0.061512749,0.003133522
Effector\_T\_Cells,-0.585035244,0.007778121,0.791854468,-0.06845395,-0.16514852,-0.416269613
Macrophages,-0.212819665,-0.012084062,0.114408814,0.28050015,-0.026932079,-0.101201555
Endothelial\_Cells,-0.0020114,-0.02742372,-0.027307592,-0.007931005,0.432849626,-0.074881792
Fibroblast,-1.15510464,0.007166385,0.483357592,-0.123529053,-0.103868631,0.020772159
