Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,0.461834395162518,-0.03719123236701,-0.174813730064909,0.0177961165190038,0.124146873737945,0.921544080132864
Regulatory\_T\_Cells,0.0347462698674992,0.601413794391286,-0.042414760025355,-0.050781028214138,0.0990320964551581,0.00150070800314423
Effector\_T\_Cells,-0.184184965801063,0.0348064068046367,0.96793478131092,-0.0782676327669935,-0.0595683072398828,-0.501109830324459
Macrophages,-0.136889636493095,-0.031245534573336,0.147851755721025,0.412067144398684,-0.0105725057439651,-0.137353297151154
Endothelial\_Cells,0.0261018576521189,-0.0756605015945681,-0.0156392182442341,-0.000957200818676358,0.271301790657832,-0.0650011633769188
Fibroblast,-0.804157152729461,0.0212239875557982,0.437966046491802,-0.162788606845029,-0.0158779804351032,0.233961186579441
