Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_ec,mu\_f
Cancer\_Cells,-1.91138129585889,0.0215992788548751,0.319944839145855,-0.305448745867517,-0.0444842558418036,-0.780085673773507
Regulatory\_T\_Cells,-0.0485108155412001,-0.574114789631094,0.0394989587616107,0.087586302801398,-0.00415726258068947,-0.00163777919128298
Effector\_T\_Cells,0.560793976872299,-0.0320386733795109,-1.4901843543881,0.342484348372931,0.0394601004703379,0.479495369588315
Macrophages,0.670390656759635,0.096796783260086,-0.603894113094159,-1.53495129909976,-0.0633484936802142,0.320606116871693
Endothelial\_Cells,0.00379812478309499,0.00401157584828193,0.0198288275555576,0.0424102824093949,-0.0823266040501046,0.00361888413937899
Fibroblast,0.6993658568128,-0.0296538456058261,-0.325983673401315,0.407217629197578,0.0178801485466964,-0.390203447909883
