Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.45452606886555,-0.0400447313163373,-0.128895465783355,0.0982668115712453,0.281233331686159,0.439646163152282
Regulatory\_T\_Cells,0.00861229934068324,0.440467523100727,-0.0214035481951014,-0.0165773445698901,0.0561179808219391,-0.0026486676590228
Effector\_T\_Cells,-0.148071096656111,0.0333657301149601,0.379307083740134,-0.0424400748772687,-0.0375352574113708,-0.0828037181550968
Macrophages,-0.154556291042392,-0.0111611739173185,0.0364874544612421,0.236528809371565,-0.00319864770283472,-0.0771876851601209
Endothelial\_Cells,-0.119078134534373,-0.0714225096614557,0.0105580079176962,-0.0348465046099172,0.675735838220085,-0.117415122235488
Fibroblast,-0.384931016030951,0.00783236655037989,0.0247924679362394,-0.0797319077225961,-0.024873621145818,0.150975233007766
