Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.64945297060641,-0.062528323903201,-0.462122076771311,0.155822912709552,0.148483297691975,0.734631358832622
Regulatory\_T\_Cells,0.0485725078554443,0.643942458721611,-0.0715158841903359,-0.0694044365027599,0.0902060183270127,0.0327928891346904
Effector\_T\_Cells,-0.653646798074976,0.0615272341783171,1.32983972866632,-0.202055600784139,-0.0943946233894633,-0.68476656935399
Macrophages,-0.503008462099883,-0.0434036851211818,0.533407213727038,0.601718968694331,-0.0406139634773438,-0.359312153828118
Endothelial\_Cells,-0.01503043445223,-0.0629796804286927,-0.0142576047619045,-0.00469610463422575,0.231529239553171,-0.033131210338776
Fibroblast,-0.820519936813445,0.0436055541017831,0.525182781868072,-0.255261810859588,-0.0268554257998841,0.088473786603273
