Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.68006320705425,-0.0203430315466188,-0.425106529008926,0.0544184236392624,0.331663508918822,0.640503518860272
Regulatory\_T\_Cells,0.0085251216808137,0.242028281581419,-0.00893195559023952,-0.0122488661616868,0.0203516123742416,-0.00885156968633922
Effector\_T\_Cells,-0.703405300951557,0.0165514960889562,0.900555586039542,-0.0778584431288505,-0.187605172724217,-0.414300227355886
Macrophages,-0.187579647857147,-0.00888847806157376,0.109762063170982,0.26995101604863,-0.0179709381724876,-0.0793591173294652
Endothelial\_Cells,-0.0124393862550324,-0.0251874439522013,-0.034247402339188,-0.00994488683142966,0.476722277071662,-0.095728432094515
Fibroblast,-1.16877819349237,0.0114536931000079,0.524755126234269,-0.127013234264765,-0.0871611903684836,0.0696794326346669
