Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_ec,mu\_f
Cancer\_Cells,-4.75,-1.061335169,-4.8156072,3.495117926,2.151583091,14.01527303
Regulatory\_T\_Cells,0.043029887,-0.273545821,0.01552348,0.009178242,0.00321245,-0.016950962
Effector\_T\_Cells,-1.259819082,-0.01065387,-0.39345789,0.202930233,0.002049346,0.013202761
Macrophages,-0.463486561,0.016873782,-0.225000467,-0.749837297,-0.003174307,0.062468846
Endothelial\_Cells,-0.653940925,0.005933304,0.011267521,0.003496763,-0.166565681,0.001549209
Fibroblast,-2.373254798,0.017080921,0.009145184,0.086257208,-0.043555293,-0.37006073
