Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-5.59509104620961,0.019087655881136,0.254863416362902,-0.532577158733335,-0.597964116207118
Regulatory\_T\_Cells,-0.0645032305098448,-0.666375357283712,0.113038013653654,0.0273508134044543,-0.0118668617139653
Effector\_T\_Cells,0.276185773443294,-0.00252594659586482,-0.644712883400193,0.402104666931031,0.115707104726953
Macrophages,0.568656504941559,0.0855732981178303,-0.279076965052808,-1.55353314275073,0.136584828205817
Endothelial\_Cells,0.0460810806835353,0.0149257259413744,0.00145699036433297,0.0276058975812602,0.0207689081316523
Fibroblast,0.604957635251544,-0.0140800875267387,-0.0638998920311572,0.281319037003788,-0.79241085359206
