Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-2.54816268889324,0.0281982785450825,0.388371473743067,-0.315306838071777,-1.01797665229829
Regulatory\_T\_Cells,-0.135624527236158,-3.13008636899841,0.269552172156188,0.0899462852442846,-0.039085048046701
Effector\_T\_Cells,0.887499483959861,0.0951946674834691,-5.87983907704913,0.74949187246458,0.607145322362073
Macrophages,0.508031528886074,0.0659729096835366,-0.58741876625666,-1.28657107122939,0.305812268465316
Endothelial\_Cells,0.0461856487947085,0.0780567865960969,-0.0227323270009121,0.0322617644473579,0.0883506558670994
Fibroblast,0.945255282485492,-0.0128958483716913,-0.180155842403093,0.400120657086243,-0.972263564514204
