Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-4.08085829496564,0.0103503437863775,0.415277588860305,-0.504483266962756,-0.302489461895694
Regulatory\_T\_Cells,-0.0954027813184638,-0.624034940664512,0.138804655631215,0.0358583852541175,-0.0233143013569298
Effector\_T\_Cells,0.663730638205392,0.0177385974395388,-2.31098956630228,0.576226925158955,0.154838939673796
Macrophages,0.671426024476406,0.0564175261059522,-0.563706997604334,-1.6610132300126,-0.00836172762143637
Endothelial\_Cells,0.0466725669304012,0.0134931959776522,-0.000327634187421722,0.0361502916243971,0.0207519956367796
Fibroblast,0.319756980093293,-0.00234012899803563,-0.0770566280591493,0.166483534387324,-0.746930601638139
