Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-1.21986726013033,0.0407001036442869,0.0849466782158203,-0.544641144552845,-0.797887419257296
Regulatory\_T\_Cells,-0.095416589175109,-0.967781515019363,0.124155503193851,0.0899885578111594,-0.0339344249864214
Effector\_T\_Cells,0.0957661545668592,-0.00917290538524936,-0.409477223092108,0.354268756127944,0.0922668977344556
Macrophages,0.870329591395453,0.175116741132679,-0.331782661069487,-1.8866096343216,0.251319679010879
Endothelial\_Cells,0.0100425443836975,0.0313644478112737,0.00308819229976417,0.0412404297632224,0.0392641237689844
Fibroblast,0.714928538371895,-0.0378386588846635,-0.0327647820519763,0.469218174865439,-0.844845044316253
