Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-3.865,19.55429526,-43.70168225,-58.60443642,-39.47010458
Regulatory\_T\_Cells,-0.096528232,-1.081665964,0.167461208,0.022037862,-0.013405408
Effector\_T\_Cells,0.366660002,-0.002915124,-0.712653609,0.545911149,0.10239913
Macrophages,0.979663024,0.105852706,-0.374124589,-1.287072556,-0.007400011
Endothelial\_Cells,0.519104783,0.029768145,0.003475597,0.062985564,0.045556085
Fibroblast,0.198004975,-0.015843145,0.020140686,0.19332654,-0.691569067
