Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-10.8488513850036,-0.0360752250077682,0.2347215351804,-0.344841949923507,-0.357842673339488
Regulatory\_T\_Cells,-0.27015562266617,-0.959584761333994,0.313777404275711,0.0195819321664154,-0.0282292566971179
Effector\_T\_Cells,0.83072215770559,0.379347966651491,-1.76376555512522,0.573381174405819,0.137643519668558
Macrophages,0.640829642094292,0.167356463186613,-0.258495808736874,-1.17327696547139,0.101923908522487
Endothelial\_Cells,0.0382187526871891,0.0125687952604306,0.00600846976224553,0.0675362419548842,0.0264863880179258
Fibroblast,0.465875430157286,0.0221613352099023,-0.129629420318179,0.178958936722582,-0.33469666958462
