Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-2.56229994892548,0.0357889113340471,0.695153512646916,-0.449620704439844,-0.385375139047762
Regulatory\_T\_Cells,-0.32191449024155,-1.06939684661655,0.551029735223507,0.0212312534063639,-0.0528488696129329
Effector\_T\_Cells,1.11920872937254,0.0616737419855554,-3.83229962360561,1.13891154162033,0.323426908223258
Macrophages,0.984272621509279,0.162379010935335,-1.35127302371623,-1.58426024892685,0.0558084167251106
Endothelial\_Cells,0.0929712619790462,0.0823424590558204,-0.0068078725105313,0.135503068863544,0.0972222299164455
Fibroblast,0.426210925244244,-0.0134898365799918,-0.141901638912759,0.290342295668499,-0.787534474799708
