Row,Gr\_cc,Gr\_treg,Gr\_teff,Gr\_m,Gr\_ec,Gr\_f
Cancer\_Cells,1.47246470083813,-0.0174222771834403,-0.91056838447802,0.440027227854331,0.206914113334142,1.02200586160948
Regulatory\_T\_Cells,0.125085305340926,0.323975413020138,-0.230575984573874,0.0137488708720774,0.0460849064337909,0.0786517802667973
Effector\_T\_Cells,-0.979724829167756,-0.0057306765697867,2.14456165952675,-0.783020771139152,-0.170526763546874,-0.921347404691917
Macrophages,-0.905026440874833,-0.0543744719523717,0.952244847873448,0.962687409451478,-0.0190700471246597,-0.524811591464733
Endothelial\_Cells,-0.00434938287470135,-0.0316240526994448,-0.0233518017095109,-0.0812218359833241,0.468687605243114,-0.117343423818643
Fibroblast,-0.913623012354713,0.0150556944989976,0.66380446365045,-0.63892982733488,-0.0618708465313062,0.520712671600468
