Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-7.80975669883918,0.0242298238322502,0.231114259877776,-0.446591825956011,-0.4428507213114
Regulatory\_T\_Cells,-0.21541640928132,-0.66026368190684,0.130800599753363,0.00974292310263843,-0.0474731983745362
Effector\_T\_Cells,1.09235476321576,-0.0208194463783124,-0.656279224451457,0.439912680570982,0.21697606879371
Macrophages,0.942298398456331,0.0752966445268963,-0.588508295102708,-1.32932084256461,0.303653656954888
Endothelial\_Cells,0.078568560334275,0.00464600634019666,-0.007299433907764,0.0227067474613603,-0.00313436569660466
Fibroblast,0.719382808991184,-0.0130441028600451,-0.149133536074154,0.240341198892666,-0.196164327650333
