Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-7.501478803,-0.078450852,0.296000806,-0.160132854,-0.605933881
Regulatory\_T\_Cells,-0.302852594,-0.968221589,0.344720348,-0.005041961,-0.052547444
Effector\_T\_Cells,1.336344379,0.528878166,-2.456340556,0.57793767,0.384868927
Macrophages,0.320251275,0.090829795,-0.243810009,-0.789449978,0.094255345
Endothelial\_Cells,0.033281587,0.004061598,0.002985862,0.002159814,0.01134845
Fibroblast,0.878471565,0.081220424,-0.370397049,0.210365159,-0.417611681
