Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-5.21712211429809,-0.0150711696680644,0.175688753267177,-0.217632133821374,-0.294895047833937
Regulatory\_T\_Cells,-0.202004553874904,-1.17319897817595,0.285610077228476,-0.0875855308568311,-0.0169548240716461
Effector\_T\_Cells,0.582636559951401,0.167146053660775,-0.915101091128517,0.489012744892817,0.041659694730258
Macrophages,0.279135209337181,0.0611821981145984,-0.385431424251903,-0.273925273342007,0.0990026966698953
Endothelial\_Cells,0.00643807963165107,0.0292571986096273,0.000368696484426652,0.0066549816517463,0.00195672125235463
Fibroblast,0.392790103793754,0.0142313951168937,-0.0554874403830174,0.0984000667981129,-0.166781440412863
