Row,Gr_cc,Gr_treg,Gr_teff,Gr_m,Gr_ec,Gr_f
Cancer_Cells,1.36522702968348,-0.0631210362282799,-0.214208875705473,0.955474784103564,0.134084517816873,0.336431875696515
Regulatory_T_Cells,0.0853032288887413,0.482897650934104,-0.0743730572235121,-0.0436968059228221,0.0424779574742348,0.0172276789297287
Effector_T_Cells,-0.103025873245085,0.00273130322171053,0.154571473426516,-0.0972120905135417,-0.00961069883781633,-0.0228963969022907
Macrophages,-0.306258713021295,-0.0267994619438275,0.0867717832115396,0.433152184639168,-0.0147749777105469,-0.0778420479641218
Endothelial_Cells,-0.0254791759755964,-0.0103969039229806,0.00529235945758008,-0.021528851091241,0.154793538259244,-0.00934249798974293
Fibroblast,-0.160705337062291,0.00402318423736099,0.0131940088385362,-0.0620737920321991,-0.00748955624412766,0.0860265562114675
