Row,mu\_cc,mu\_treg,mu\_teff,mu\_m,mu\_f
Cancer\_Cells,-2.82622450359928,0.14198156773411,0.182920005332133,-0.460097557476199,-0.416797314440967
Regulatory\_T\_Cells,-0.033842573199794,-0.758518599994253,0.181039740601744,-0.0210542350943198,0.0665764041058362
Effector\_T\_Cells,0.139323946474869,-0.0802422328526056,-0.743827041600059,1.04766307356018,0.0807828848226896
Macrophages,0.441147417249709,0.0854516034203537,-0.706090906937478,-1.19621465510732,0.127391488412536
Endothelial\_Cells,0.0589069227365484,0.36343375473157,-0.0525094751888338,0.117195646845493,0.180834373503709
Fibroblast,0.449964021744929,0.0468857416155457,-0.00729179015222498,0.297951480298678,-0.523163399603174
