PCR_Name,RD_Name,Similarity
regulatorytcellspatient162,regulatorytcellspatient161,0.961538461538462
effectortcellspatient162,effectortcellspatient161,0.958333333333333
macrophagespatient162,macrophagespatient161,0.952380952380952
endothelialcellspatient162,endothelialcellspatient161,0.961538461538462
fibroblastpatient162,fibroblastpatient161,0.95
cancercellspatient164,cancercellspatient104,0.952380952380952
regulatorytcellspatient164,regulatorytcellspatient104,0.961538461538462
effectortcellspatient164,effectortcellspatient104,0.958333333333333
macrophagespatient164,macrophagespatient104,0.952380952380952
endothelialcellspatient164,endothelialcellspatient104,0.961538461538462
fibroblastpatient164,fibroblastpatient104,0.95
cancercellspatient181,cancercellspatient161,0.952380952380952
regulatorytcellspatient181,regulatorytcellspatient161,0.961538461538462
effectortcellspatient181,effectortcellspatient161,0.958333333333333
macrophagespatient181,macrophagespatient161,0.952380952380952
endothelialcellspatient181,endothelialcellspatient161,0.961538461538462
fibroblastpatient181,fibroblastpatient161,0.95
cancercellspatient194,cancercellspatient104,0.952380952380952
regulatorytcellspatient194,regulatorytcellspatient104,0.961538461538462
effectortcellspatient194,effectortcellspatient104,0.958333333333333
macrophagespatient194,macrophagespatient104,0.952380952380952
endothelialcellspatient194,endothelialcellspatient104,0.961538461538462
fibroblastpatient194,fibroblastpatient104,0.95
cancercellspatient199,cancercellspatient179,0.952380952380952
regulatorytcellspatient199,regulatorytcellspatient179,0.961538461538462
effectortcellspatient199,effectortcellspatient179,0.958333333333333
macrophagespatient199,macrophagespatient179,0.952380952380952
endothelialcellspatient199,endothelialcellspatient179,0.961538461538462
fibroblastpatient199,fibroblastpatient179,0.95
cancercellspatient201,cancercellspatient001,0.952380952380952
regulatorytcellspatient201,regulatorytcellspatient001,0.961538461538462
effectortcellspatient201,effectortcellspatient001,0.958333333333333
macrophagespatient201,macrophagespatient001,0.952380952380952
endothelialcellspatient201,endothelialcellspatient001,0.961538461538462
fibroblastpatient201,fibroblastpatient001,0.95
cancercellspatient204,cancercellspatient104,0.952380952380952
regulatorytcellspatient204,regulatorytcellspatient104,0.961538461538462
effectortcellspatient204,effectortcellspatient104,0.958333333333333
macrophagespatient204,macrophagespatient104,0.952380952380952
endothelialcellspatient204,endothelialcellspatient104,0.961538461538462
fibroblastpatient204,fibroblastpatient104,0.95
cancercellspatient209,cancercellspatient279,0.952380952380952
regulatorytcellspatient209,regulatorytcellspatient279,0.961538461538462
effectortcellspatient209,effectortcellspatient279,0.958333333333333
macrophagespatient209,macrophagespatient279,0.952380952380952
endothelialcellspatient209,endothelialcellspatient279,0.961538461538462
fibroblastpatient209,fibroblastpatient279,0.95
cancercellspatient215,cancercellspatient210,0.952380952380952
regulatorytcellspatient215,regulatorytcellspatient210,0.961538461538462
effectortcellspatient215,effectortcellspatient210,0.958333333333333
macrophagespatient215,macrophagespatient210,0.952380952380952
endothelialcellspatient215,endothelialcellspatient210,0.961538461538462
fibroblastpatient215,fibroblastpatient210,0.95
cancercellspatient218,cancercellspatient210,0.952380952380952
regulatorytcellspatient218,regulatorytcellspatient210,0.961538461538462
effectortcellspatient218,effectortcellspatient210,0.958333333333333
macrophagespatient218,macrophagespatient210,0.952380952380952
endothelialcellspatient218,endothelialcellspatient210,0.961538461538462
fibroblastpatient218,fibroblastpatient210,0.95
cancercellspatient219,cancercellspatient210,0.952380952380952
regulatorytcellspatient219,regulatorytcellspatient210,0.961538461538462
effectortcellspatient219,effectortcellspatient210,0.958333333333333
macrophagespatient219,macrophagespatient210,0.952380952380952
endothelialcellspatient219,endothelialcellspatient210,0.961538461538462
fibroblastpatient219,fibroblastpatient210,0.95
cancercellspatient221,cancercellspatient211,0.952380952380952
regulatorytcellspatient221,regulatorytcellspatient211,0.961538461538462
effectortcellspatient221,effectortcellspatient211,0.958333333333333
macrophagespatient221,macrophagespatient211,0.952380952380952
endothelialcellspatient221,endothelialcellspatient211,0.961538461538462
fibroblastpatient221,fibroblastpatient211,0.95
