Cancer_Cells_Patient_Mean,Regulatory_T_Cells_Patient_Mean,Effector_T_Cells_Patient_Mean,Macrophages_Patient_Mean,Endothelial_Cells_Patient_Mean,Fibroblast_Patient_Mean
43.7197297297297,7.93162162162162,16.9475675675676,7.99891891891892,2.978,18.7094594594595
44.001278251507,7.3715096748839,13.1259433018015,6.73627242896856,2.33422301730011,10.8798304630106
41.4760491072372,6.91087598469479,10.8639041271083,5.70542113763053,1.91678160028682,6.92953365355963
37.8973055239734,6.52565931530324,9.50673423851855,4.90621296162479,1.63555816848171,5.04527078657353
34.3411734150428,6.19888725908303,8.69813364461337,4.30498556192558,1.44669964708563,4.18838893431133
31.0185960110178,5.91833132693797,8.20884230038825,3.84506223531946,1.31441340164202,3.76834464627228
28.0808205621882,5.6750965627158,7.9478562061868,3.49405771308313,1.22312530799307,3.60953554081668
25.4424491695324,5.46269460341327,7.87630458841223,3.21785375475939,1.16831915658277,3.6971152838112
23.2674540595489,5.27630050646754,7.8460190243085,2.99644458598081,1.12511636376966,3.65876875472105
21.601063737158,5.11146678812809,7.89727698136921,2.82046117284834,1.10169854703426,3.61598167690185
19.9785236104835,4.96474186964997,8.0066569872391,2.67938597044456,1.09109084534003,3.64057311943086
18.5932899039212,4.8330767207266,8.18395836368618,2.57716861333052,1.09602473251123,3.72939823146496
17.410993795776,4.71403650137295,8.38071577662928,2.48219909957507,1.10585460150425,3.7957230523555
16.3955328850788,4.6055810055023,8.62263482446363,2.41042629052945,1.12432019538761,3.89965223852284
15.5190838024999,4.50597181750522,8.88298766531764,2.35011191888166,1.15101361263128,4.00610284519591
14.7552603532196,4.41682839437268,9.16596983728822,2.30354847684895,1.17039323978079,4.12546951936798
14.0861489450664,4.33807115761679,9.47761545912504,2.27291969408494,1.18534667490637,4.28126545427554
13.4797720977474,4.26664678841257,9.78981479904267,2.2501582912421,1.20069987170051,4.43697429449541
13.0295716109622,4.20007005075198,10.0793539332358,2.23835004873905,1.21474443129406,4.60259985096741
12.4761894587561,4.13829598458959,10.4128098102385,2.23682009420579,1.23560246216859,4.79408226815082
12.0007682531358,4.08061214393319,10.7740078212858,2.2339271683021,1.25440608282926,4.98134079379161
11.6066315850493,4.02513582901583,11.170231990353,2.24084974327575,1.27870620798622,5.1818304958154
11.2684829073056,3.97427781870091,11.5982046600258,2.25054527088005,1.30762631688652,5.39734829334256
