Cancer_Cells,Regulatory_T_Cells,Effector_T_Cells,Macrophages,Endothelial_Cells,Fibroblast
9.67,12.8,43,2,9.29,20.44
11.6226897870896,10.811796648336,45.4886206560448,2.62308724756889,7.64928606878603,16.874150898843
13.1381678462921,9.08826965757809,47.086323876524,3.39083147149574,6.36901118425869,13.7026996221863
14.1493811997663,7.61379803267304,47.9530135734204,4.31312792368869,5.35329750311396,11.0015469744103
14.6991371252776,6.36317912283388,48.2783456814119,5.39181959115858,4.5357361658764,8.77682962527718
14.8887717366122,5.30801013664778,48.2302043571302,6.61736809524501,3.86886245257992,6.98560867492295
14.8321987604589,4.42059257257159,47.9347694566976,7.96599074254634,3.31812507257571,5.56211758810969
14.6292637832214,3.67586811730799,47.4779742085249,9.39889080734593,2.85810805411477,4.4373131236513
14.3561606921114,3.05203347403274,46.9158063663058,10.8648922036154,2.47000908195161,3.54917070026589
14.0655079000249,2.53045912010771,46.2854399575687,12.3066228105561,2.13982621020134,2.84636283356408
13.7905011740068,2.09530258931973,45.6134308202861,13.6687535969741,1.85705165511657,2.28817790975534
13.5498607840727,1.73307708461592,44.9207454057756,14.9058852706406,1.61367143048804,1.84306769086997
13.3523148255705,1.43225533897878,44.2249722921406,15.987759007877,1.40345038332155,1.48678007594608
13.2001513111377,1.18296243553791,43.5407525968068,16.9006569764287,1.22143183402746,1.20063285583095
13.0918076980393,0.976752880544826,42.8797604997239,17.6454235777388,1.06357690160131,0.97018553864548
13.0323047913243,0.80643010354955,42.250305106775,18.2351558140183,0.926420223642594,0.940147360301612
13.0325879935099,0.665903563038066,41.6536113903176,18.6888696109765,0.806959553025181,0.902699225382272
13.0677219086836,0.60009352697293,41.090444721004,19.02111417666,0.702993791818955,0.905360754998269
12.8626521768023,0.633712949055093,40.6254735329988,19.2248912832129,0.624727392946479,1.11564696195868
13.0164538987198,0.601497544482018,40.1850560902854,19.4082313092757,0.601097420430196,0.902589296645301
13.1831308938774,0.611233214427158,39.7618646180982,19.518293166435,0.608234873253167,0.919339303956403
13.3752081040581,0.654068628286593,39.3559523216784,19.5726559624879,0.640015594711339,0.994798014409999
13.5960564527812,0.609551299913431,38.9664741500259,19.583459934228,0.60773730356627,0.915733882526566
13.8292267489319,0.605230801151925,38.5879249336226,19.5577595834069,0.603928473046423,0.909450777829394
14.0823904898784,0.619408945734262,38.221542299706,19.504966540238,0.615066388325306,0.934765487463627
14.3461290378703,0.607005149864905,37.8631960775901,19.4294732290851,0.605351205146528,0.913128611834067
14.6211610169609,0.634774470190625,37.5126176960677,19.3367484921046,0.626821745828643,0.966570295956949
14.9071131239284,0.621305664347303,37.1683590761021,19.2305135164259,0.616567876123002,0.941529859616796
15.2027281019082,0.687820474236272,36.8288825591167,19.1135659725013,0.669080546986728,1.07560098558712
15.5069604915527,0.665903973701192,36.4928597845213,18.9880481334318,0.652260055343912,1.03415093829092
15.8189237679919,0.644174336110901,36.159142962197,18.8556312585279,0.63531555935722,0.991551262177644
16.1378778477978,0.685489428683105,35.8267711015267,18.7175780340189,0.669095107391414,1.08147598052847
16.4769574030727,0.72118441898762,35.4965362595357,18.5764673771288,0.699608236282313,1.15874363808162
16.8349636066892,0.618345388292223,35.1623727878229,18.4305389580265,0.615158352321214,0.939332663941889
17.1712697747729,0.604692785541746,34.8231048003559,18.2773967088383,0.603888286427843,0.910536356802245
17.5121035521807,0.601987958491115,34.483970004189,18.1216900805771,0.60166409286683,0.904544686916706
17.8578481499987,0.601570734847694,34.1444874512183,17.9638088382946,0.601327726206463,0.903662220164123
18.2081307339343,0.603273922756056,33.8041835285695,17.8039712842102,0.60279256948678,0.907813797372181
18.5626090359145,0.601068014701334,33.4626971687789,17.6423478123387,0.600920499681621,0.902599659288219
18.9209490383852,0.600504857396668,33.1197596405865,17.4790716229142,0.600439587968067,0.901252242449916
19.2829577016259,0.601173401889277,32.7751877730199,17.3142662276215,0.601030820768529,0.90297064181053
19.648298007153,0.601762189026956,32.4288491966812,17.1480193525262,0.601565489843059,0.904555363379897
20.0168413593892,0.600370845012469,32.0806771898411,16.9804294250521,0.600332795234031,0.900980573266719
20.3883106218766,0.600541714524979,31.730638135622,16.8115683677818,0.600491143137659,0.901464873869466
20.7625074182969,0.600257194876876,31.3787368258998,16.6415119856185,0.600235606249175,0.900711553011699
21.139229110887,0.600366929475886,31.0250071921471,16.4703314930903,0.600339795574018,0.901028543262545
