UMAP1,UMAP2,CellType,Group
5.67403667275443,4.86426661297715,cancercells,PCR
5.66948429533569,4.87743159493891,cancercells,PCR
5.80238387624841,5.05531751005133,cancercells,PCR
6.04528903957962,5.38714588472959,cancercells,PCR
6.27270291622202,5.66003061134627,cancercells,PCR
6.52561806774315,5.97582998152934,cancercells,PCR
6.72118761790048,6.23370735612639,cancercells,PCR
6.90451903192962,6.55549355118678,cancercells,PCR
7.14620222130147,6.78227262129247,cancercells,PCR
7.26941697109742,7.11786789582832,cancercells,PCR
7.50333121151233,7.38135679953323,cancercells,PCR
7.66800884826823,7.63268319291698,cancercells,PCR
7.87047619758306,7.87571965576254,cancercells,PCR
7.91191541489963,8.07381849830903,cancercells,PCR
8.16413337128684,8.36935893596038,cancercells,PCR
8.22369121072173,8.51751243054975,cancercells,PCR
8.37915079499388,8.66594014117779,cancercells,PCR
8.18520494310734,8.94438382417633,cancercells,PCR
8.34985169872856,9.03762934945275,cancercells,PCR
8.68102836409122,9.14440858820665,cancercells,PCR
8.42300015669812,9.54673191956131,cancercells,PCR
8.80635388371199,9.59473574103938,cancercells,PCR
8.58119299632456,9.72308515941844,cancercells,PCR
8.82709760214448,9.87022374605453,cancercells,PCR
8.5950599916209,10.1743836470272,cancercells,PCR
8.86251885371139,10.3123516947416,cancercells,PCR
8.863296617294,10.5670648873752,cancercells,PCR
9.01619366348502,10.8439269850608,cancercells,PCR
9.0725722061704,11.0058257528695,cancercells,PCR
9.06546229688138,11.2454889137436,cancercells,PCR
9.21368948486329,11.3168602161717,cancercells,PCR
9.35415801082672,11.6532630034287,cancercells,PCR
9.42205041473857,11.9707138582732,cancercells,PCR
9.34244284169691,12.1432599053591,cancercells,PCR
9.53759512792778,12.3877562337112,cancercells,PCR
9.60759523718367,12.4413073154468,cancercells,PCR
9.50847317291514,12.8438747834666,cancercells,PCR
9.68672418200465,13.0026511789725,cancercells,PCR
9.55772902275358,13.1816906553549,cancercells,PCR
9.80628060684336,13.2857008907796,cancercells,PCR
9.83622721102726,13.4245969497386,cancercells,PCR
9.92425699110328,13.7936571706047,cancercells,PCR
9.95509416611676,14.0265957070777,cancercells,PCR
10.1235038813674,14.3798505055586,cancercells,PCR
10.1649940217879,14.8216566312829,cancercells,PCR
10.2711024624432,15.1317143576728,cancercells,PCR
10.3367787486026,15.3723752389034,cancercells,PCR
10.4346516095226,15.6994011994513,cancercells,PCR
10.4359029553412,15.7889739311055,cancercells,PCR
10.5063155458846,15.9542587873633,cancercells,PCR
10.5273698182542,16.3372559249867,cancercells,PCR
10.6417677165845,16.6264595155262,cancercells,PCR
10.7867195124767,16.9256977709634,cancercells,PCR
10.9089810317166,17.2109373963802,cancercells,PCR
10.9932064466125,17.4571902864134,cancercells,PCR
11.0707614176128,17.7779925170691,cancercells,PCR
11.0965472634097,17.9275431112966,cancercells,PCR
11.1447080124381,18.1845389460044,cancercells,PCR
11.180568320086,18.4568840291791,cancercells,PCR
11.04552813199,18.6643937942001,cancercells,PCR
11.2185006257932,19.0071387650951,cancercells,PCR
11.4638674345854,19.304900760547,cancercells,PCR
11.4062009194038,19.486241848792,cancercells,PCR
11.2371049080424,19.5614477317586,cancercells,PCR
10.8431423402883,19.7424453363291,cancercells,PCR
10.8120075585511,19.9250530885284,cancercells,PCR
11.2196137473451,20.2304424768163,cancercells,PCR
10.7689389575866,20.4113652910563,cancercells,PCR
11.0317402911758,20.6152326430795,cancercells,PCR
10.4046632186362,20.6196897485377,cancercells,PCR
10.9242993191702,21.0254895657087,cancercells,PCR
10.5012017109635,20.8996711809946,cancercells,PCR
10.328000061154,21.066839768142,cancercells,PCR
10.0276064729248,21.0550117217634,cancercells,PCR
10.6772153149632,21.52481723769,cancercells,PCR
10.3782404132526,21.7352029058891,cancercells,PCR
9.75178788722211,21.3942463024626,cancercells,PCR
10.1042710308691,21.9106931912835,cancercells,PCR
10.1398468337554,22.0364409431918,cancercells,PCR
9.60057406358401,21.8837906005371,cancercells,PCR
9.94568283238167,22.2716481222108,cancercells,PCR
9.82707549957793,22.5475862468671,cancercells,PCR
9.42161920815061,22.3705663532943,cancercells,PCR
9.19476759387699,22.3753555306216,cancercells,PCR
9.35948848647232,22.9239876893079,cancercells,PCR
8.87724252733168,22.8504523544935,cancercells,PCR
9.08356236762439,23.1500620787981,cancercells,PCR
8.89520011659563,23.3308135063732,cancercells,PCR
8.43578828435657,23.2393963508566,cancercells,PCR
8.44039702160246,23.5910351866463,cancercells,PCR
8.32498726673682,23.7279129879568,cancercells,PCR
7.93032443593196,23.5819992967632,cancercells,PCR
7.79828623024783,23.5279041485793,cancercells,PCR
7.73390545838396,23.9870909830785,cancercells,PCR
7.41179405389002,23.8205710754596,cancercells,PCR
7.32035249429821,24.0392690922375,cancercells,PCR
7.2776576929346,24.2112840804623,cancercells,PCR
