UMAP1,UMAP2,CellType,Group
19.5454164405771,15.7864335661244,cancercells,PCR
19.0851696355633,15.5199099498768,cancercells,PCR
18.9975113737051,15.5518377758553,cancercells,PCR
19.4581538308693,16.31425149528,cancercells,PCR
19.2035328704466,16.1293885572817,cancercells,PCR
18.5420920211219,15.8766066194802,cancercells,PCR
18.4797981710839,15.901172261793,cancercells,PCR
18.3532964953807,16.0232242624763,cancercells,PCR
18.6694121839695,16.4252396575274,cancercells,PCR
18.8603199078497,16.6558414468406,cancercells,PCR
18.1652894117083,16.3222725259146,cancercells,PCR
18.4601649578864,16.8691035652976,cancercells,PCR
18.0634760405572,16.6022740948586,cancercells,PCR
18.4511755339003,17.0403712700601,cancercells,PCR
17.8179908150892,16.7353300730671,cancercells,PCR
18.0499890640105,17.1261473752591,cancercells,PCR
17.6179650771858,17.1693599074637,cancercells,PCR
17.4158080408589,17.2647144481989,cancercells,PCR
17.4616714407066,17.52232537198,cancercells,PCR
17.4003244722171,17.7727215719237,cancercells,PCR
17.0509077668333,17.7387769370762,cancercells,PCR
16.901006180641,17.9940822154455,cancercells,PCR
17.0925209230192,18.3078652514749,cancercells,PCR
16.8499015456692,18.5456479931019,cancercells,PCR
16.9538096349126,18.7132692614444,cancercells,PCR
16.6591318215646,18.8284572420458,cancercells,PCR
16.785628157474,19.1518216439491,cancercells,PCR
16.5491705745725,19.3767442751142,cancercells,PCR
16.4411634429468,19.5876228194843,cancercells,PCR
16.7820477942431,19.8261010181406,cancercells,PCR
16.9231939770568,19.973913478878,cancercells,PCR
16.6744229766012,20.1731072738438,cancercells,PCR
16.7676727075429,20.325585336286,cancercells,PCR
16.9326652421961,20.5666763375201,cancercells,PCR
17.1317192983292,20.5371284475948,cancercells,PCR
17.1350304464778,20.6767030797491,cancercells,PCR
17.1359476041583,20.8064669375821,cancercells,PCR
-22.2587377000292,-26.1377028658257,cancercells,RD
-22.1505892434681,-25.9783289772803,cancercells,RD
-21.9796339436783,-25.8811529310778,cancercells,RD
-21.8341341004461,-25.7001164089324,cancercells,RD
-21.7614255179883,-25.5870886055963,cancercells,RD
-21.5585680681695,-25.4725474969794,cancercells,RD
-21.3943561455557,-25.2638228143059,cancercells,RD
-21.2227948116582,-25.0868954397672,cancercells,RD
-21.112726581626,-24.8623319090696,cancercells,RD
-20.9515568286418,-24.7073433778119,cancercells,RD
-20.835834737979,-24.4986578603604,cancercells,RD
-20.6018963356418,-24.3993853882791,cancercells,RD
-20.6140704969802,-24.0483734667006,cancercells,RD
-20.4693466507559,-23.9401358950241,cancercells,RD
-20.2832866771506,-23.7894432873072,cancercells,RD
-20.2330587669035,-23.6426790559414,cancercells,RD
-19.914270921927,-23.5918108772504,cancercells,RD
-20.0925211862368,-23.3660970064761,cancercells,RD
-20.1727813012766,-23.0760356464839,cancercells,RD
-19.8626596593074,-23.0700463241885,cancercells,RD
-19.7169060590758,-22.8969710764167,cancercells,RD
-19.6536284596732,-22.6127820317903,cancercells,RD
-19.6018056418988,-22.4028985117655,cancercells,RD
-19.2879087990505,-22.2110781921752,cancercells,RD
-19.2329696377977,-22.0608177558381,cancercells,RD
-19.1514939937811,-21.7377490317624,cancercells,RD
-18.9202980345874,-21.5402275619234,cancercells,RD
-19.0061103239244,-21.3917451433356,cancercells,RD
-18.8328932398774,-21.1578326690733,cancercells,RD
-18.8289156012504,-20.9053211496965,cancercells,RD
-18.4854585287405,-20.9193930621714,cancercells,RD
-18.6926845378015,-20.6300882368787,cancercells,RD
-18.5457838242793,-20.5038259183687,cancercells,RD
-18.3154689021125,-20.4534856914896,cancercells,RD
-18.3062200504277,-20.0848361339007,cancercells,RD
-18.1936862454858,-19.8769630486192,cancercells,RD
-18.0463560655464,-19.7580667007436,cancercells,RD
-17.958540825191,-19.5573668585909,cancercells,RD
-17.781353717234,-19.1821856076188,cancercells,RD
-17.6123289907535,-19.0726339879611,cancercells,RD
-17.5019136516858,-18.9187450710331,cancercells,RD
-17.4468024810906,-18.5423819429645,cancercells,RD
-17.3499446058678,-18.3909026938613,cancercells,RD
-17.0352966394806,-18.278413756265,cancercells,RD
-17.2427132866282,-17.8927428619016,cancercells,RD
-16.7845901325906,-17.9514008880936,cancercells,RD
-16.97799268941,-17.7225424098038,cancercells,RD
-16.5243929820729,-17.9276236241714,cancercells,RD
-16.3528296034622,-17.7407110956342,cancercells,RD
-16.910194542574,-17.2584819335425,cancercells,RD
-16.8889045017258,-17.265465180105,cancercells,RD
-16.6896940189462,-17.1351316647524,cancercells,RD
-16.4374792793835,-17.1946611006716,cancercells,RD
-16.3162663992969,-16.9158645695766,cancercells,RD
-16.1179791858299,-16.7350634041949,cancercells,RD
-15.9663416561929,-16.4568097104168,cancercells,RD
-15.7069998756072,-16.0435423839279,cancercells,RD
-15.4677800591567,-15.7121809734051,cancercells,RD
-15.2178534335702,-15.3362743261815,cancercells,RD
-15.0491051527397,-15.1677411315297,cancercells,RD
-15.0206642204307,-15.0329963303606,cancercells,RD
-15.01631670738,-14.6918815864399,cancercells,RD
-14.8358078265125,-14.5993554437495,cancercells,RD
-14.5047432528562,-14.7813701088707,cancercells,RD
-14.4122319403199,-14.5628300053606,cancercells,RD
-14.4854230107888,-14.094155140106,cancercells,RD
-14.1061587036818,-14.4271564900191,cancercells,RD
-13.8461453518704,-14.343565068043,cancercells,RD
-14.0000013292898,-14.2082274486747,cancercells,RD
-13.5373484676575,-14.3018892565831,cancercells,RD
-13.7187770671313,-13.6936192783137,cancercells,RD
-13.6418103801606,-13.6801249684986,cancercells,RD
-13.2362060393739,-13.9474153970481,cancercells,RD
-13.1953317399976,-13.7518663037958,cancercells,RD
-12.919532856119,-13.6390246630299,cancercells,RD
-12.8485783618782,-13.4635064835387,cancercells,RD
-12.7113764274566,-13.2974319631619,cancercells,RD
-12.3564062840865,-13.4764267329651,cancercells,RD
-12.3251401530679,-13.2407524693005,cancercells,RD
-12.0199897919138,-13.295304000762,cancercells,RD
-11.9272971270342,-13.0567553925522,cancercells,RD
-11.6233131269649,-13.0812382946778,cancercells,RD
-11.6906705298405,-12.6726718366641,cancercells,RD
-11.4575354574838,-12.7161662867065,cancercells,RD
-11.2297050804225,-12.6240517635464,cancercells,RD
-11.0707933911842,-12.5073005041887,cancercells,RD
-11.0790658929578,-12.2504080376025,cancercells,RD
-10.7624074961198,-12.2122813479501,cancercells,RD
-10.5191513289576,-12.3143324681435,cancercells,RD
-10.6376865651195,-11.9999747826174,cancercells,RD
-10.2181013935037,-11.8913656946403,cancercells,RD
-10.3490975188226,-11.5496138996479,cancercells,RD
-9.93328386359205,-11.640398262155,cancercells,RD
-9.63155076160464,-11.5452328750475,cancercells,RD
-9.70251950961076,-11.1931509954205,cancercells,RD
-9.53956198379763,-10.7806032053701,cancercells,RD
-9.34860169617533,-10.8734461173732,cancercells,RD
-9.42414146706266,-11.0354048841757,cancercells,RD
-9.36106128768876,-10.9272831025193,cancercells,RD
-9.34227842390051,-10.9833838866211,cancercells,RD
-8.29118404373225,9.29159902317646,regulatorytcell,PCR
-8.33078807452431,9.48090581316132,regulatorytcell,PCR
-8.38818931380251,9.69076347265162,regulatorytcell,PCR
-8.54136078656163,9.82896559992447,regulatorytcell,PCR
-8.52195846005621,10.0886906762205,regulatorytcell,PCR
-8.49953891130822,10.3232384099425,regulatorytcell,PCR
-9.09413461584396,10.1442452009561,regulatorytcell,PCR
-9.23943120354597,10.4457960261056,regulatorytcell,PCR
-9.04835661540423,10.6175394332965,regulatorytcell,PCR
-8.88345472025136,10.9087272918199,regulatorytcell,PCR
-8.98762733878484,11.0394777217089,regulatorytcell,PCR
-9.09372617892836,11.2178088952765,regulatorytcell,PCR
-9.6229270577577,10.836616549879,regulatorytcell,PCR
-9.65191645858651,10.9023357058796,regulatorytcell,PCR
-9.33691234850768,11.3662352955311,regulatorytcell,PCR
-9.59898400115057,11.5146674294926,regulatorytcell,PCR
-9.92393657395448,11.3202793195742,regulatorytcell,PCR
-10.0597210753644,11.383874692469,regulatorytcell,PCR
-9.86683694644045,11.8208634711412,regulatorytcell,PCR
-9.99822940041534,11.8766420216584,regulatorytcell,PCR
-10.2741335619298,11.8396142637875,regulatorytcell,PCR
-10.3619627198969,11.9907737894222,regulatorytcell,PCR
-10.5120039271252,12.2614986887631,regulatorytcell,PCR
-10.6689870444862,12.5194146597637,regulatorytcell,PCR
-10.8746427954343,12.6533441059717,regulatorytcell,PCR
-11.1354797950377,12.8874709806239,regulatorytcell,PCR
-11.3327425113571,13.1365748347527,regulatorytcell,PCR
-11.6432397100632,13.3748561806801,regulatorytcell,PCR
-11.7813423605325,13.489656268909,regulatorytcell,PCR
-12.3722925002555,13.7409500039585,regulatorytcell,PCR
-12.4919603833383,13.7955135227953,regulatorytcell,PCR
-12.7282355099172,13.9137365027364,regulatorytcell,PCR
-13.0395224912638,14.0061348028764,regulatorytcell,PCR
-13.2576365144859,14.2178851597871,regulatorytcell,PCR
-13.5078494957552,14.2889733156216,regulatorytcell,PCR
-13.681130815573,14.3914942782336,regulatorytcell,PCR
-13.8542112157701,14.4943184658189,regulatorytcell,PCR
-13.9874719177861,14.6546781307739,regulatorytcell,PCR
-14.1847586656637,14.6897729276713,regulatorytcell,PCR
-14.366089575244,14.8406488643726,regulatorytcell,PCR
-14.4676484782672,15.091068908615,regulatorytcell,PCR
-14.5971554413155,15.170014872764,regulatorytcell,PCR
-14.6159065776164,15.3597612694651,regulatorytcell,PCR
-14.7562141805842,15.6589300041024,regulatorytcell,PCR
-14.820648850788,15.9214753835726,regulatorytcell,PCR
-14.9031012372026,16.1678664743161,regulatorytcell,PCR
-14.8752411705494,16.4732853959083,regulatorytcell,PCR
-14.9099639279851,16.9337932619267,regulatorytcell,PCR
-14.9073393876009,17.152796969485,regulatorytcell,PCR
-14.8451204008818,17.3693027318115,regulatorytcell,PCR
-14.7535219415252,17.6367759817839,regulatorytcell,PCR
-14.745667161773,17.8319067377057,regulatorytcell,PCR
-14.6855034618086,18.0779808428158,regulatorytcell,PCR
-14.6758648898801,18.1966339259108,regulatorytcell,PCR
-14.5024513432286,18.3392061651229,regulatorytcell,PCR
-14.5133909940762,18.5403414556815,regulatorytcell,PCR
-14.2899952781977,18.673872229919,regulatorytcell,PCR
-14.099382117908,18.7726002990143,regulatorytcell,PCR
-13.8911274544838,18.710946562301,regulatorytcell,PCR
-13.6764245292277,18.7498995917357,regulatorytcell,PCR
-13.3736320865402,18.7370045793036,regulatorytcell,PCR
-13.0530117571905,18.9080129919755,regulatorytcell,PCR
-12.6278667098183,18.8252278384706,regulatorytcell,PCR
-12.1557164991446,18.7842023324947,regulatorytcell,PCR
-11.7898445862797,18.7875594129852,regulatorytcell,PCR
-11.4130800560105,18.7516872314068,regulatorytcell,PCR
-11.1616248944342,18.719558432305,regulatorytcell,PCR
-10.8875863034324,18.6785087607011,regulatorytcell,PCR
-10.657865398219,18.6512076202489,regulatorytcell,PCR
-10.4601842233931,18.6708068144009,regulatorytcell,PCR
-10.1538456165969,18.7041198876003,regulatorytcell,PCR
-9.90940451586404,18.6490845203275,regulatorytcell,PCR
-9.78514392024613,18.6956322523325,regulatorytcell,PCR
-9.57725466298033,18.8507247557226,regulatorytcell,PCR
-9.42372978470654,18.8030966403785,regulatorytcell,PCR
-9.22093726778541,18.9548358762901,regulatorytcell,PCR
-9.06789910869974,18.9985610018406,regulatorytcell,PCR
-8.85795354746944,19.303766278089,regulatorytcell,PCR
-8.55814125640152,19.2914488831395,regulatorytcell,PCR
-8.43748873471914,19.2996262042483,regulatorytcell,PCR
-8.26641793198191,19.3403346293253,regulatorytcell,PCR
-8.08010640052639,19.7203072600789,regulatorytcell,PCR
-7.91975562805645,19.8180770813174,regulatorytcell,PCR
-7.7139520984517,19.8484275472132,regulatorytcell,PCR
-7.43590791784618,19.965180002777,regulatorytcell,PCR
-7.44079713781797,20.1148640422324,regulatorytcell,PCR
-7.02647477306912,20.0927256461591,regulatorytcell,PCR
-7.31556094079475,20.6944791932246,regulatorytcell,PCR
-7.20372294403714,20.6782722712471,regulatorytcell,PCR
-6.78229425715084,20.4470261789556,regulatorytcell,PCR
-6.71801392394361,20.6135304490577,regulatorytcell,PCR
-6.98659958579985,21.0831185377311,regulatorytcell,PCR
-6.52534998509082,20.7317348619145,regulatorytcell,PCR
-6.27333608151716,20.9500759980098,regulatorytcell,PCR
-6.44312015773599,21.3209493099924,regulatorytcell,PCR
-6.57718719185364,21.6975133497475,regulatorytcell,PCR
-6.33326321115549,21.6305607899809,regulatorytcell,PCR
-6.10507836183884,21.5844134972147,regulatorytcell,PCR
-6.10988756365339,21.7513652399169,regulatorytcell,PCR
-6.05526853308627,21.8460271416378,regulatorytcell,PCR
-45.658026679947,-26.6388446641955,regulatorytcell,RD
-45.5583870132922,-26.5381704229352,regulatorytcell,RD
-45.7446382055011,-26.4036513157278,regulatorytcell,RD
-45.8694301960231,-25.9873667432606,regulatorytcell,RD
-45.9971344230275,-25.3708629503413,regulatorytcell,RD
-46.28642005045,-24.7808421477039,regulatorytcell,RD
-46.3273769766239,-24.5820893025243,regulatorytcell,RD
-46.1874435738772,-24.3524389337538,regulatorytcell,RD
-46.2584943860412,-24.1548674666919,regulatorytcell,RD
-46.3322139008418,-23.9989148804184,regulatorytcell,RD
-45.9016319875389,-24.0133180437176,regulatorytcell,RD
-46.3343809926753,-23.7238835367114,regulatorytcell,RD
-45.6482511302933,-24.027172695854,regulatorytcell,RD
-46.2773840504296,-23.4933326258262,regulatorytcell,RD
-45.967143853582,-23.5198960836003,regulatorytcell,RD
-45.4175748665983,-23.6581362362366,regulatorytcell,RD
-46.0153196893693,-23.1552291432839,regulatorytcell,RD
-45.9355382067413,-23.0319807773786,regulatorytcell,RD
-45.3908762701805,-23.2801748797088,regulatorytcell,RD
-45.3070160401261,-23.1294787140869,regulatorytcell,RD
-45.1594856229008,-22.908846515822,regulatorytcell,RD
-45.076348831614,-22.7579001919826,regulatorytcell,RD
-44.8886974521827,-22.6146177652042,regulatorytcell,RD
-44.5145034954959,-22.3734897245099,regulatorytcell,RD
-44.142150838069,-22.180489272615,regulatorytcell,RD
-43.9203017888128,-21.9518720033344,regulatorytcell,RD
-43.6393148585928,-21.6979663545407,regulatorytcell,RD
-43.3673296119352,-21.5360075384092,regulatorytcell,RD
-43.2406640296346,-21.3359022996189,regulatorytcell,RD
-43.0416984206271,-21.2507657661522,regulatorytcell,RD
-42.7961399736404,-20.9861923413076,regulatorytcell,RD
-42.8463042246864,-20.9086160558688,regulatorytcell,RD
-42.5283072643266,-20.9008718309422,regulatorytcell,RD
-42.2400484846343,-21.1043555187081,regulatorytcell,RD
-42.1985999715294,-20.7381091940623,regulatorytcell,RD
-42.2453998178622,-20.4824152874922,regulatorytcell,RD
-41.9133043864276,-20.4553979615749,regulatorytcell,RD
-41.52018484743,-20.512051579798,regulatorytcell,RD
-41.6800332002666,-20.25931574107,regulatorytcell,RD
-41.3478696857286,-20.0273226545932,regulatorytcell,RD
-41.1067901071264,-20.1354702368147,regulatorytcell,RD
-40.8681382466526,-20.2154297668628,regulatorytcell,RD
-40.8558944843552,-19.7931850856655,regulatorytcell,RD
-40.5679132615638,-19.719352090228,regulatorytcell,RD
-40.3949795165368,-20.0350055739211,regulatorytcell,RD
-40.1237061846339,-19.4966076756292,regulatorytcell,RD
-40.0039957873999,-20.0039659813891,regulatorytcell,RD
-39.7679115478817,-19.9779014036386,regulatorytcell,RD
-39.897368810937,-19.3757020550792,regulatorytcell,RD
-39.6391356984905,-19.4603095596215,regulatorytcell,RD
-39.5092780805286,-19.4719697110069,regulatorytcell,RD
-39.3156773608214,-19.797490587297,regulatorytcell,RD
-39.0867961741686,-19.6687317737023,regulatorytcell,RD
-38.8747747568707,-19.7664268066537,regulatorytcell,RD
-38.4229673859624,-19.679120203586,regulatorytcell,RD
-38.1014043671603,-19.6896726298817,regulatorytcell,RD
-37.6426491804401,-19.7068169312377,regulatorytcell,RD
-37.2543616835956,-19.7181634588878,regulatorytcell,RD
-36.8055185309998,-19.6957640173093,regulatorytcell,RD
-36.454235819649,-19.7679810539891,regulatorytcell,RD
-36.2073645785647,-19.6068744071075,regulatorytcell,RD
-35.9277848175848,-19.7961634711005,regulatorytcell,RD
-35.678219187111,-19.683289652217,regulatorytcell,RD
-35.6508639869946,-20.0710442064023,regulatorytcell,RD
-35.5039460080636,-19.5163934303272,regulatorytcell,RD
-35.4402471692746,-20.1328196341996,regulatorytcell,RD
-35.1866989078182,-19.3646932064312,regulatorytcell,RD
-35.1364879564376,-20.2322045672776,regulatorytcell,RD
-35.0363458114654,-20.2994068473321,regulatorytcell,RD
-34.9274880093403,-19.2929201563326,regulatorytcell,RD
-34.7587044193652,-19.4021655276863,regulatorytcell,RD
-34.7869265337727,-20.0593643566963,regulatorytcell,RD
-34.6143114287458,-20.0324858912993,regulatorytcell,RD
-34.4965407157325,-19.5250021603802,regulatorytcell,RD
-34.1904629837915,-19.8978807984989,regulatorytcell,RD
-34.0583701034403,-20.1510300987508,regulatorytcell,RD
-34.0214931599857,-19.4522720643672,regulatorytcell,RD
-33.762178596225,-19.4589647877775,regulatorytcell,RD
-33.5099478687102,-19.8046696825406,regulatorytcell,RD
-33.3197561686301,-19.7122153830477,regulatorytcell,RD
-33.1163594540809,-19.4627943480598,regulatorytcell,RD
-32.8067072791976,-19.4783814345734,regulatorytcell,RD
-32.5569242678239,-19.46495456428,regulatorytcell,RD
-32.3842675585181,-19.2553891090863,regulatorytcell,RD
-31.996480712658,-19.3674983450283,regulatorytcell,RD
-31.9308105237238,-19.4459988246012,regulatorytcell,RD
-31.6731375435483,-19.3496240405047,regulatorytcell,RD
-31.4395211504721,-19.4104070256175,regulatorytcell,RD
-31.2685868450348,-19.3072837107532,regulatorytcell,RD
-31.0303047748641,-19.5117464614469,regulatorytcell,RD
-30.8981776259192,-19.5239878831255,regulatorytcell,RD
-30.6384452899084,-19.2336555085959,regulatorytcell,RD
-30.3951710400714,-19.1951354923383,regulatorytcell,RD
-30.2350092799449,-19.5131943796349,regulatorytcell,RD
-30.0764623690649,-19.5295424218843,regulatorytcell,RD
-29.6578815618133,-19.4241604781806,regulatorytcell,RD
-29.4448331077727,-19.396778689372,regulatorytcell,RD
-29.6609843837194,-19.1356124137151,regulatorytcell,RD
-29.7349655320026,-18.9671010767189,regulatorytcell,RD
-29.7847032689856,-18.8856478073798,regulatorytcell,RD
22.0289819932184,-4.06243145509864,effectortcells,PCR
22.2243735468852,-4.01241166333572,effectortcells,PCR
22.4700051168979,-3.92889020815093,effectortcells,PCR
22.768153707296,-3.80441325408564,effectortcells,PCR
23.0142422051371,-3.73561744345567,effectortcells,PCR
23.3401532679,-3.62127028859416,effectortcells,PCR
