Cancer_Cells_Patient_Mean,Regulatory_T_Cells_Patient_Mean,Effector_T_Cells_Patient_Mean,Macrophages_Patient_Mean,Endothelial_Cells_Patient_Mean,Fibroblast_Patient_Mean
44.5473684210526,4.51040789473684,15.5482105263158,6.786,3.40184210526316,24.9613157894737
47.9800242785782,4.22133736737583,11.9771228883722,5.96926333275731,2.76966507272269,14.8504703477061
47.9477848347381,3.98709039080254,9.90449848639551,5.25332863946954,2.32030215543564,9.30790113691302
46.3206509609456,3.79565653232442,8.69597562711399,4.69577639556246,1.99628159472578,6.21892675487002
44.151491375148,3.63860481122222,8.01092566713845,4.26539885453751,1.76293865287653,4.38437418844123
41.7181519528386,3.50944767261225,7.70144126224967,3.9346765609929,1.59388517545189,3.52705637179694
39.3681208397927,3.40309135555513,7.4090004144152,3.68686272133124,1.47278526362737,3.00479021538161
37.223205253019,3.31566489830652,7.17094988772848,3.47729640265699,1.39130057383147,2.6563580905063
35.3145407095878,3.24403279860486,7.05366665418695,3.30232541128966,1.33980300495288,2.47842799167152
33.628127488513,3.18572716090022,6.99662389259651,3.14156369120814,1.31129896184062,2.36486501177274
32.031706284727,3.13861936497434,6.97318108607783,3.00306337731952,1.30671070627514,2.42464788559066
30.645201413015,3.10034633858433,7.05388719826188,2.87890998302184,1.32290585888066,2.51511131222984
29.5166913836275,3.0707702613256,7.11599496863892,2.77870609731418,1.348595160016,2.50495887151349
28.4941807824709,3.04788181570022,7.19688230670241,2.68491316172534,1.38440544257095,2.49058519369639
27.5666258348036,3.03061436371592,7.27116817727376,2.59757718320487,1.42373031742111,2.45470651861867
26.7361482144113,3.01929846595557,7.42908431563716,2.5349863734361,1.47650848576497,2.51734754214767
25.976118739249,3.01536716476925,7.59710660401537,2.4741509657373,1.53290086549936,2.55370462711709
25.2711653621824,3.01404319679662,7.78582215446557,2.41861823712696,1.59245698890071,2.58265677741545
24.625974224063,3.01517100539029,8.06917532776946,2.39262642644877,1.6741586037894,2.7181601467788
24.0589509677662,3.01831005560816,8.32917567218493,2.35474297403583,1.74049493962417,2.75373672723201
23.5215225314431,3.02562806080468,8.67152440622441,2.33537004375648,1.8148820945364,2.8704620648085
23.0461698993124,3.03430175628092,9.0439017118463,2.32304289970286,1.89235778156667,2.98879686773911
22.6270905367314,3.03885473028779,9.43732085049806,2.30490116757707,1.96281473475324,3.09427354277293
22.3029598947669,3.04866148784266,9.88124386639075,2.31343021392871,2.0384301741991,3.23027516117476
21.9333786703603,3.05733752260409,10.3344702249092,2.30850791432391,2.11389627701425,3.38797376517857
21.624205679256,3.06415085926596,10.7842063184744,2.30467330323064,2.1845895405925,3.53483703585208
21.3190158329478,3.07349101228923,11.2684858283379,2.31314789107299,2.25509515873788,3.75487624040809
21.0790759834493,3.08301526888685,11.7244054983019,2.32166290658734,2.32543475370442,3.96212433960255
20.8609065030383,3.08983274615314,12.1357550467969,2.32745774891857,2.38863434386157,4.15274443478171
20.6492348752709,3.09720190366733,12.6127427400239,2.35710234914536,2.45350151616534,4.4712005148916
20.4654070032815,3.10461236066725,13.0217432307974,2.38566207727915,2.51417518910548,4.76320136398201
20.2930482190704,3.10703081753549,13.4334638210061,2.41846832136981,2.56123813791032,5.08961027877111
20.12764023016,3.11280239741456,13.8293303648841,2.45203984189744,2.61089181699773,5.45716342847379
19.9998096388454,3.11490350934409,14.2144638790546,2.49126456050265,2.65308046360975,5.85456309832953
19.8333363079579,3.11497422172502,14.5628579034063,2.5243996055275,2.68058911914453,6.25340534543093
19.6979690846917,3.11746103248152,14.9441254273627,2.57487838696658,2.71811927040279,6.75887538043491
19.5821458182713,3.1161350270114,15.2860006385958,2.61334943052153,2.73871705700923,7.22256529476369
19.4365760054432,3.11832367743635,15.6501511529709,2.66614844808898,2.75690627421351,7.79020293007793
19.3383692738554,3.12213705764104,16.0119793545055,2.72351628126525,2.77004852666358,8.40326454610351
19.2299053981683,3.11839521026673,16.333689621206,2.77728374189276,2.78045864060132,8.99237231475224
19.1093959009112,3.11921579769204,16.7118220727364,2.84551322222341,2.78403248199644,9.68148151285415
19.0106492862067,3.11730863914342,17.0667106199764,2.91600574869008,2.77543609758013,10.3741027272067
18.9127850244254,3.11221134906122,17.4438517775633,3.00087895347485,2.76729273302217,11.0973842136267
18.8392833921978,3.11213949145433,17.7924513997912,3.08985320185523,2.75648298751038,11.8204286337893
18.7539511372175,3.10442467901452,18.1292063620636,3.18153344440758,2.72760693660991,12.5015525905538
18.6870311496633,3.10032068789545,18.4808347637657,3.28823955635646,2.71324976822221,13.2129908607791
18.6224713837709,3.09149420687262,18.8044017536485,3.40586983279947,2.6831363773615,13.8696909498765
18.6136644547335,3.08075536227721,19.134361301908,3.53483238834961,2.64962518198589,14.4962495332104
18.6038078124866,3.07367071712372,19.3694103671948,3.65550688552207,2.61237123897939,15.0007276062904
18.690955981804,3.06212412306817,19.6789044033413,3.79746917649958,2.58431886959964,15.5022134356498
18.8176539308989,3.04856942453082,19.7706502228786,3.89387520575353,2.53672956317874,15.709707595083
18.9399805472944,3.03092918112114,20.0020849392025,4.02382413084808,2.52019268458199,16.0089976154671
19.1780106641203,3.01286566891985,20.0758041825404,4.09716313491968,2.52263938402758,16.0238004392707
19.4589368835419,2.99913002380082,20.087515115529,4.16292175529925,2.47558629434765,15.8804475049678
19.8204460037334,2.99084986598666,20.0335796890098,4.20532739463515,2.42839362119738,15.5767369733606
20.2339991270792,2.97704803370243,19.9205911873636,4.21301526777579,2.39218730250245,15.0719640398983
20.6531568794406,2.96179976164803,19.7436240084211,4.19075169378757,2.35892309520864,14.4033401364434
21.0705486872353,2.95299165725489,19.6601562174962,4.16648572944285,2.3505842942299,13.7760553966671
21.4398121571264,2.94231372648785,19.3308402463895,4.08095487830835,2.32287937703414,12.8745400406579
21.7302759410201,2.93927869272216,19.154370089715,4.01379409894938,2.32427374344201,12.1648450664632
21.7846329058008,2.93181617727424,18.9889118650273,3.92648202475911,2.33487136711221,11.4545189544203
21.7356541616638,2.92549050238675,18.7922356280728,3.83600989885222,2.33717429958675,10.8135450814057
21.5667212677153,2.92434156368963,18.7761990795705,3.75833918149744,2.366803967401,10.3898978615199
21.3383465484332,2.92069318436661,18.7013262298889,3.67495760247054,2.38148992395243,9.9748088736495
21.0428005353549,2.91507935754832,18.7483013902444,3.59834207959961,2.40426091264344,9.70825717906614
20.7021549551,2.91907094101497,18.8764439695466,3.5499175603603,2.44390461809574,9.63743207146714
